ccn_flag,ccn_conc,datetime,ccn_sursaturation,pollution_flag
0.0,143.968,2021-02-07 23:55:14,0.8,0.0
0.0,180.176,2021-02-07 23:55:23,0.8,0.0
0.0,189.878,2021-02-07 23:55:24,0.8,0.0
0.0,149.06,2021-02-07 23:55:25,0.8,0.0
0.0,150.386,2021-02-07 23:55:28,0.8,0.0
0.0,142.583,2021-02-07 23:55:29,0.8,0.0
0.0,145.866,2021-02-07 23:55:35,0.8,0.0
0.0,181.119,2021-02-07 23:55:36,0.8,0.0
0.0,185.079,2021-02-07 23:55:49,0.8,0.0
0.0,142.42,2021-02-07 23:55:55,0.8,0.0
0.0,158.642,2021-02-07 23:56:02,0.8,0.0
0.0,159.505,2021-02-07 23:56:03,0.8,0.0
0.0,174.674,2021-02-07 23:56:04,0.8,0.0
0.0,159.756,2021-02-07 23:56:06,0.8,0.0
0.0,146.789,2021-02-07 23:56:15,0.8,0.0
0.0,143.351,2021-02-07 23:56:21,0.8,0.0
0.0,148.019,2021-02-07 23:56:23,0.8,0.0
0.0,147.546,2021-02-07 23:56:26,0.8,0.0
0.0,148.897,2021-02-07 23:56:33,0.8,0.0
0.0,169.174,2021-02-07 23:56:34,0.8,0.0
0.0,160.207,2021-02-07 23:56:35,0.8,0.0
0.0,149.447,2021-02-07 23:56:36,0.8,0.0
0.0,142.097,2021-02-07 23:56:40,0.8,0.0
0.0,143.815,2021-02-07 23:56:41,0.8,0.0
0.0,156.433,2021-02-07 23:56:47,0.8,0.0
0.0,162.527,2021-02-07 23:56:48,0.8,0.0
0.0,157.596,2021-02-07 23:56:49,0.8,0.0
0.0,161.097,2021-02-07 23:56:50,0.8,0.0
0.0,142.827,2021-02-07 23:57:02,0.8,0.0
0.0,175.925,2021-02-07 23:57:03,0.8,0.0
0.0,171.68,2021-02-07 23:57:04,0.8,0.0
0.0,149.716,2021-02-07 23:57:15,0.8,0.0
0.0,151.612,2021-02-07 23:57:19,0.8,0.0
0.0,161.969,2021-02-07 23:57:23,0.8,0.0
0.0,145.392,2021-02-07 23:57:33,0.8,0.0
0.0,145.931,2021-02-07 23:57:34,0.8,0.0
0.0,161.839,2021-02-07 23:57:42,0.8,0.0
0.0,161.417,2021-02-07 23:57:52,0.8,0.0
