pollution_flag,ccn_sursaturation,datetime,ccn_conc,ccn_flag
0.0,0.5,2024-02-10 00:00:03,284.672,0.0
0.0,0.5,2024-02-10 00:00:04,284.316,0.0
0.0,0.5,2024-02-10 00:00:05,239.369,0.0
0.0,0.5,2024-02-10 00:00:06,314.28,0.0
0.0,0.5,2024-02-10 00:00:07,262.749,0.0
0.0,0.5,2024-02-10 00:00:08,313.89,0.0
0.0,0.5,2024-02-10 00:00:09,328.893,0.0
0.0,0.5,2024-02-10 00:00:10,299.067,0.0
0.0,0.5,2024-02-10 00:00:11,291.801,0.0
0.0,0.5,2024-02-10 00:00:12,274.977,0.0
0.0,0.5,2024-02-10 00:00:13,274.21,0.0
0.0,0.5,2024-02-10 00:00:14,286.935,0.0
0.0,0.5,2024-02-10 00:00:15,294.756,0.0
0.0,0.5,2024-02-10 00:00:16,254.869,0.0
0.0,0.5,2024-02-10 00:00:17,268.657,0.0
0.0,0.5,2024-02-10 00:00:18,284.605,0.0
0.0,0.5,2024-02-10 00:00:19,260.051,0.0
0.0,0.5,2024-02-10 00:00:20,293.382,0.0
0.0,0.5,2024-02-10 00:00:21,321.725,0.0
0.0,0.5,2024-02-10 00:00:22,287.844,0.0
0.0,0.5,2024-02-10 00:00:23,266.555,0.0
0.0,0.5,2024-02-10 00:00:24,249.979,0.0
0.0,0.5,2024-02-10 00:00:25,261.177,0.0
0.0,0.5,2024-02-10 00:00:26,285.681,0.0
0.0,0.5,2024-02-10 00:00:27,314.707,0.0
0.0,0.5,2024-02-10 00:00:28,290.119,0.0
0.0,0.5,2024-02-10 00:00:29,265.998,0.0
